"Levande födda efter region, moderns ålder, kön och år"

"region","moderns ålder","kön","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00 Riket","29 år","kvinnor",2912,2693,2829,3165,3378,3640,3591,3525,3413,3347,3256,3269,3250,3097,3251,3035,3254,3540,3633,3714,3882,3996,4239,4308,4436,4710,4537,4113,3812,3497,3189,3316,3460,3465,3542,3784,3656,3427,3492,3409,3494,3699,3724,3630,3585,3690,3836,3985,4118,4235,4286
"00 Riket","30 år","män",2599,2550,2493,2703,2957,3129,3374,3197,3088,3191,3155,3311,3168,3156,3068,3135,3209,3521,3523,3917,3983,3933,4144,4269,4219,4383,4613,4162,3875,3603,3555,3442,3629,3760,4110,4154,4285,3980,3973,3998,3965,4121,4316,3880,4126,4113,4316,4280,4540,4443,4643
"00 Riket","30 år","kvinnor",2505,2470,2397,2531,2814,2956,3036,2979,2928,2974,3102,3031,3037,2903,2872,3017,2956,3191,3478,3496,3727,3782,3906,3984,4091,4127,4297,3873,3779,3515,3426,3191,3485,3534,3785,3970,4053,3898,3853,3733,3791,4009,4214,3811,3874,3824,4019,4139,4397,4234,4524
"00 Riket","31 år","män",2142,2086,2164,2151,2231,2445,2693,2741,2691,2674,2669,2924,2947,2796,2718,2814,3051,3106,3231,3329,3671,3727,3854,3846,3952,3870,3815,3958,3644,3614,3636,3448,3396,3672,3956,4201,4236,4379,4314,4192,4175,4164,4455,4286,4280,4244,4262,4253,4498,4457,4584
"00 Riket","31 år","kvinnor",1992,2023,2040,2090,2068,2333,2557,2568,2427,2530,2612,2746,2821,2676,2603,2602,2877,2809,3009,3245,3395,3428,3713,3658,3639,3656,3649,3617,3444,3314,3334,3266,3193,3418,3886,3889,3920,4239,4163,3936,3957,3922,4035,4126,4071,4013,3914,4026,4260,4306,4297
"00 Riket","32 år","män",1915,1824,1813,1901,1804,1792,2069,2092,2198,2172,2253,2379,2556,2479,2500,2435,2572,2729,2767,2977,3151,3268,3453,3461,3559,3428,3309,3216,3376,3190,3329,3332,3241,3325,3565,4072,4109,4141,4322,4301,4086,4167,4113,4079,4299,4295,4135,4077,4208,4366,4421
"00 Riket","32 år","kvinnor",1778,1678,1710,1743,1722,1714,1913,2082,2088,2111,2160,2403,2435,2459,2308,2265,2373,2628,2485,2898,2881,2965,3236,3269,3246,3314,3247,3143,3278,3083,3216,3064,3094,3081,3466,3807,3925,3825,4254,3880,3939,3880,4039,3782,4017,3927,3966,3900,3953,4074,4165
"00 Riket","33 år","män",1490,1485,1478,1558,1461,1457,1515,1572,1759,1831,1925,2093,2162,2110,2287,2139,2123,2322,2449,2440,2637,2833,3064,3013,3157,2886,2901,2866,2713,2754,2932,2942,3159,3129,3164,3529,3739,3799,3942,4044,3910,3944,3956,3811,3855,4051,3943,3908,3785,3892,4056
"00 Riket","33 år","kvinnor",1434,1455,1329,1482,1476,1314,1464,1533,1581,1733,1828,1990,2083,2071,2022,1947,2023,2229,2334,2358,2594,2634,2810,2843,2830,2805,2652,2630,2526,2773,2711,2787,2890,2923,2989,3280,3594,3712,3746,3975,3749,3606,3777,3523,3605,3854,3703,3572,3679,3777,3876
"00 Riket","34 år","män",1337,1200,1209,1229,1171,1252,1219,1142,1312,1377,1506,1629,1821,1875,1828,1808,1758,1878,2024,2087,2179,2344,2496,2540,2550,2501,2343,2252,2270,2329,2567,2532,2705,2879,2967,2964,3309,3342,3740,3676,3712,3681,3571,3500,3593,3585,3814,3618,3573,3537,3545
